date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:17	1570/1570	---M--	200	added ('OK')	image/png	etag:%22622-5897d6c460a00%22	https://smart-school.in/assets/admin/assets/img/language.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/language.png	(from https://smart-school.in/feature)
15:25:17	2317/2317	---M--	200	added ('OK')	image/png	etag:%2290d-5897d6a7c4680%22	https://smart-school.in/assets/admin/assets/img/routine.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/routine.png	(from https://smart-school.in/feature)
15:25:17	2680/2680	---M--	200	added ('OK')	image/png	etag:%22a78-5897d6a7c4680%22	https://smart-school.in/assets/admin/assets/img/homework.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/homework.png	(from https://smart-school.in/feature)
15:25:18	2260/2260	---M--	200	added ('OK')	image/png	etag:%228d4-5897d6c831300%22	https://smart-school.in/assets/admin/assets/img/parent-monitor.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/parent-monitor.png	(from https://smart-school.in/feature)
15:25:18	2302/2302	---M--	200	added ('OK')	image/png	etag:%228fe-5897d6af65880%22	https://smart-school.in/assets/admin/assets/img/chart.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/chart.png	(from https://smart-school.in/feature)
15:25:18	2127/2127	---M--	200	added ('OK')	image/png	etag:%2284f-5897d6bea7c80%22	https://smart-school.in/assets/admin/assets/img/exam-marks.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/exam-marks.png	(from https://smart-school.in/feature)
15:25:19	1863/1863	---M--	200	added ('OK')	image/png	etag:%22747-5897d6a9acb00%22	https://smart-school.in/assets/admin/assets/img/profile-system.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/profile-system.png	(from https://smart-school.in/feature)
15:25:19	2580/2580	---M--	200	added ('OK')	image/png	etag:%22a14-5897d6c831300%22	https://smart-school.in/assets/admin/assets/img/transport.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/transport.png	(from https://smart-school.in/feature)
15:25:19	2199/2199	---M--	200	added ('OK')	image/png	etag:%22897-5897d6b8eef00%22	https://smart-school.in/assets/admin/assets/img/hostel.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/hostel.png	(from https://smart-school.in/feature)
15:25:20	2600/2600	---M--	200	added ('OK')	image/png	etag:%22a28-5897d6af65880%22	https://smart-school.in/assets/admin/assets/img/library.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/library.png	(from https://smart-school.in/feature)
15:25:20	2202/2202	---M--	200	added ('OK')	image/png	etag:%2289a-5897d6c648e80%22	https://smart-school.in/assets/admin/assets/img/best.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/best.png	(from https://smart-school.in/feature)
15:25:20	2209/2209	---M--	200	added ('OK')	image/png	etag:%228a1-5897d6b51e600%22	https://smart-school.in/assets/admin/assets/img/internal.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/internal.png	(from https://smart-school.in/feature)
15:25:20	2271/2271	---M--	200	added ('OK')	image/png	etag:%228df-5897d6b14dd00%22	https://smart-school.in/assets/admin/assets/img/daily.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/daily.png	(from https://smart-school.in/feature)
15:25:21	2452/2452	---M--	200	added ('OK')	image/png	etag:%22994-5897d6ad7d400%22	https://smart-school.in/assets/admin/assets/img/sibling.png	C:/Users/HP%20PC/Downloads/https___smart-school.in_/smart-school.in/assets/admin/assets/img/sibling.png	(from https://smart-school.in/feature)
